"question_id";"has_answer_after_best"
"45131";"answer_after_best"
"45132";"answer_after_best"
"45134";"answer_after_best"
"45137";"answer_after_best"
"45141";"no_answer_after_best"
"45146";"answer_after_best"
"45148";"answer_after_best"
"45154";"answer_after_best"
"45155";"no_answer_after_best"
"45156";"no_answer_after_best"
"45157";"no_answer_after_best"
"45158";"no_answer_after_best"
"45159";"answer_after_best"
"45161";"answer_after_best"
"45169";"no_answer_after_best"
"45170";"answer_after_best"
"45187";"no_answer_after_best"
"45193";"answer_after_best"
"45196";"no_answer_after_best"
"45202";"no_answer_after_best"
"45206";"answer_after_best"
"45207";"answer_after_best"
"45209";"answer_after_best"
"45210";"answer_after_best"
"45258";"no_answer_after_best"
"45259";"no_answer_after_best"
"45264";"no_answer_after_best"
"45278";"answer_after_best"
"45279";"no_answer_after_best"
"45286";"no_answer_after_best"
"45288";"answer_after_best"
"45293";"answer_after_best"
"45297";"answer_after_best"
"45299";"answer_after_best"
"45300";"no_answer_after_best"
"45324";"no_answer_after_best"
"45325";"answer_after_best"
"45326";"no_answer_after_best"
"45329";"answer_after_best"
"45331";"no_answer_after_best"
"45337";"answer_after_best"
"45339";"answer_after_best"
"45344";"no_answer_after_best"
"45345";"answer_after_best"
"45347";"answer_after_best"
"45349";"no_answer_after_best"
"45351";"no_answer_after_best"
"45352";"answer_after_best"
"45355";"answer_after_best"
"45358";"answer_after_best"
"45359";"answer_after_best"
"45361";"no_answer_after_best"
"45372";"answer_after_best"
"45376";"answer_after_best"
"45379";"no_answer_after_best"
"45380";"answer_after_best"
"45384";"no_answer_after_best"
"45385";"no_answer_after_best"
"45387";"no_answer_after_best"
"45388";"answer_after_best"
"45394";"answer_after_best"
"45395";"answer_after_best"
"45402";"no_answer_after_best"
"45403";"answer_after_best"
"45404";"no_answer_after_best"
"45406";"no_answer_after_best"
"45407";"answer_after_best"
"45408";"no_answer_after_best"
"45409";"no_answer_after_best"
"45415";"answer_after_best"
"45417";"no_answer_after_best"
"45421";"no_answer_after_best"
"45423";"no_answer_after_best"
"45425";"answer_after_best"
"45426";"no_answer_after_best"
"45433";"no_answer_after_best"
"45435";"answer_after_best"
"45438";"answer_after_best"
"45448";"answer_after_best"
"45449";"answer_after_best"
"45450";"no_answer_after_best"
"45461";"no_answer_after_best"
"45464";"no_answer_after_best"
"45467";"no_answer_after_best"
"45471";"no_answer_after_best"
"45478";"answer_after_best"
"45482";"no_answer_after_best"
"45483";"no_answer_after_best"
"45487";"answer_after_best"
"45489";"answer_after_best"
"45493";"no_answer_after_best"
"45501";"no_answer_after_best"
"45504";"answer_after_best"
"45505";"no_answer_after_best"
"45506";"answer_after_best"
"45509";"answer_after_best"
"45510";"answer_after_best"
"45511";"no_answer_after_best"
"45516";"no_answer_after_best"
"45522";"no_answer_after_best"
"45527";"answer_after_best"
"45528";"no_answer_after_best"
"45529";"no_answer_after_best"
"45534";"no_answer_after_best"
"45539";"no_answer_after_best"
"45549";"no_answer_after_best"
"45552";"no_answer_after_best"
"45555";"no_answer_after_best"
"45556";"no_answer_after_best"
"45558";"no_answer_after_best"
"45560";"no_answer_after_best"
"45562";"no_answer_after_best"
"45563";"no_answer_after_best"
"45566";"no_answer_after_best"
"45568";"answer_after_best"
"45571";"no_answer_after_best"
"45574";"no_answer_after_best"
"45577";"no_answer_after_best"
"45584";"no_answer_after_best"
"45585";"answer_after_best"
"45586";"no_answer_after_best"
"45587";"no_answer_after_best"
"45593";"no_answer_after_best"
"45604";"no_answer_after_best"
"45605";"answer_after_best"
"45612";"answer_after_best"
"45620";"no_answer_after_best"
"45623";"answer_after_best"
"45625";"no_answer_after_best"
"45626";"no_answer_after_best"
"45629";"no_answer_after_best"
"45630";"no_answer_after_best"
"45635";"no_answer_after_best"
"45636";"answer_after_best"
"45639";"answer_after_best"
"45640";"no_answer_after_best"
"45643";"no_answer_after_best"
