"question_id";"has_answer_after_best"
"9120";"no_answer_after_best"
"9121";"answer_after_best"
"9122";"no_answer_after_best"
"9123";"no_answer_after_best"
"9124";"answer_after_best"
"9125";"answer_after_best"
"9126";"no_answer_after_best"
"9127";"answer_after_best"
"9128";"answer_after_best"
"9129";"answer_after_best"
"9133";"answer_after_best"
"9138";"answer_after_best"
"9142";"answer_after_best"
"9143";"no_answer_after_best"
"9144";"answer_after_best"
"9147";"answer_after_best"
"9148";"answer_after_best"
"9153";"answer_after_best"
"9161";"no_answer_after_best"
"9165";"no_answer_after_best"
"9167";"no_answer_after_best"
"9177";"answer_after_best"
"9181";"no_answer_after_best"
"9184";"no_answer_after_best"
"9185";"no_answer_after_best"
"9187";"no_answer_after_best"
"9189";"no_answer_after_best"
"9193";"no_answer_after_best"
"9200";"answer_after_best"
"9201";"no_answer_after_best"
"9202";"answer_after_best"
"9204";"answer_after_best"
"9209";"no_answer_after_best"
"9217";"no_answer_after_best"
"9221";"no_answer_after_best"
"9225";"answer_after_best"
"9231";"no_answer_after_best"
"9235";"no_answer_after_best"
"9256";"no_answer_after_best"
"9265";"no_answer_after_best"
"9266";"no_answer_after_best"
"9267";"no_answer_after_best"
"9269";"no_answer_after_best"
"9272";"answer_after_best"
"9274";"answer_after_best"
"9275";"no_answer_after_best"
"9279";"answer_after_best"
"9281";"no_answer_after_best"
"9285";"no_answer_after_best"
"9286";"answer_after_best"
"9290";"no_answer_after_best"
"9291";"answer_after_best"
"9294";"answer_after_best"
"9296";"no_answer_after_best"
"9297";"no_answer_after_best"
"9298";"answer_after_best"
"9300";"no_answer_after_best"
"9301";"answer_after_best"
"9303";"no_answer_after_best"
"9308";"no_answer_after_best"
"9309";"no_answer_after_best"
"9310";"no_answer_after_best"
"9329";"answer_after_best"
"9335";"answer_after_best"
"9337";"answer_after_best"
"9346";"answer_after_best"
"9347";"no_answer_after_best"
"9349";"no_answer_after_best"
"9358";"no_answer_after_best"
"9363";"answer_after_best"
"9370";"answer_after_best"
"9374";"no_answer_after_best"
"9385";"no_answer_after_best"
"9390";"no_answer_after_best"
"9392";"answer_after_best"
"9396";"no_answer_after_best"
"9400";"no_answer_after_best"
"9404";"no_answer_after_best"
"9408";"no_answer_after_best"
"9409";"no_answer_after_best"
"9410";"answer_after_best"
"9411";"answer_after_best"
"9420";"answer_after_best"
"9424";"no_answer_after_best"
"9425";"answer_after_best"
"9433";"answer_after_best"
"9434";"no_answer_after_best"
"9442";"answer_after_best"
"9443";"no_answer_after_best"
"9446";"answer_after_best"
"9447";"answer_after_best"
"9465";"no_answer_after_best"
"9472";"answer_after_best"
"9474";"no_answer_after_best"
"9479";"answer_after_best"
"9482";"no_answer_after_best"
"9489";"no_answer_after_best"
"9492";"no_answer_after_best"
"9494";"answer_after_best"
"9500";"no_answer_after_best"
"9502";"no_answer_after_best"
"9507";"answer_after_best"
"9511";"no_answer_after_best"
"9516";"answer_after_best"
"9520";"no_answer_after_best"
"9542";"answer_after_best"
"9544";"answer_after_best"
"9547";"answer_after_best"
"9549";"answer_after_best"
"9552";"answer_after_best"
"9557";"no_answer_after_best"
"9562";"no_answer_after_best"
"9567";"no_answer_after_best"
"9569";"answer_after_best"
"9573";"answer_after_best"
